id,timeInS,studentPlace,distortion,
460,460,15R,Idle,
461,470,01L,Idle,
462,470,01R,Idle,
463,470,05L,Idle,
464,470,07R,Idle,
465,470,11L,Idle,
466,470,12R,Staring,
467,470,13R,Idle,
468,470,14L,hit,
469,470,14R,hit,
470,470,15R,Idle,
471,480,01L,Idle,
472,480,01R,Idle,
473,480,05L,Idle,
474,480,07R,Idle,
475,480,11L,Idle,
476,480,12R,Idle,
477,480,13R,Throw,
478,480,14L,Idle,
479,480,14R,Idle,
480,480,15R,Idle,
481,490,01L,Idle,
482,490,01R,Idle,
483,490,05L,Idle,
484,490,07R,Idle,
485,490,11L,Idle,
486,490,12R,Idle,
487,490,13R,Idle,
488,490,14L,Idle,
489,490,14R,Idle,
490,490,15R,Idle,
491,500,01L,Idle,
492,500,01R,Idle,
493,500,05L,Idle,
494,500,07R,Idle,
495,500,11L,Idle,
496,500,12R,Idle,
497,500,13R,Idle,
498,500,14L,Idle,
499,500,14R,Idle,
500,500,15R,Idle,
501,510,01L,Idle,
502,510,01R,Idle,
503,510,05L,Idle,
504,510,07R,Idle,
505,510,11L,Idle,
506,510,12R,Idle,
507,510,13R,Idle,
508,510,14L,Idle,
509,510,14R,Idle,
510,510,15R,Idle,
511,520,01L,Writing,
512,520,01R,Writing,
513,520,05L,Writing,
514,520,07R,Writing,
515,520,11L,Writing,
516,520,12R,Writing,
517,520,13R,Writing,
518,520,14L,Writing,
519,520,14R,Writing,
520,520,15R,Writing,
521,530,01L,Writing,
522,530,01R,Writing,
523,530,05L,Writing,
524,530,07R,Writing,
525,530,11L,Writing,
526,530,12R,Writing,
527,530,13R,Writing,
528,530,14L,Chatting,
529,530,14R,Chatting,
530,530,15R,Writing,
531,540,01L,Writing,
532,540,01R,Writing,
533,540,05L,Writing,
534,540,07R,Writing,
535,540,11L,Writing,
536,540,12R,Writing,
537,540,13R,Writing,
538,540,14L,Writing,
539,540,14R,Writing,
540,540,15R,Writing,
541,550,01L,Writing,
542,550,01R,Writing,
543,550,05L,Writing,
544,550,07R,Writing,
545,550,11L,Writing,
546,550,12R,Writing,
547,550,13R,Writing,
548,550,14L,Writing,
549,550,14R,Writing,
550,550,15R,Writing,
551,560,01L,Writing,
552,560,01R,Writing,
553,560,05L,Writing,
554,560,07R,Staring,
555,560,11L,Writing,
556,560,12R,Writing,
557,560,13R,Writing,
558,560,14L,Writing,
559,560,14R,Writing,
560,560,15R,Writing,
561,570,01L,Writing,
562,570,01R,Writing,
563,570,05L,Writing,
564,570,07R,Writing,
565,570,11L,Writing,
566,570,12R,Writing,
567,570,13R,Writing,
568,570,14L,Writing,
569,570,14R,Writing,
570,570,15R,Writing,
571,580,01L,Writing,
572,580,01R,Writing,
573,580,05L,Writing,
574,580,07R,Writing,
575,580,11L,Writing,
576,580,12R,Writing,
577,580,13R,Writing,
578,580,14L,Writing,
579,580,14R,Writing,
580,580,15R,Writing,
581,590,01L,Writing,
582,590,01R,Writing,
583,590,05L,Writing,
584,590,07R,Writing,
585,590,11L,Writing,
586,590,12R,Writing,
587,590,13R,Writing,
588,590,14L,Writing,
589,590,14R,Writing,
590,590,15R,Writing,
591,600,01L,Writing,
592,600,01R,Writing,
593,600,05L,Staring,
594,600,07R,Writing,
595,600,11L,Writing,
596,600,12R,Writing,
597,600,13R,Writing,
598,600,14L,Writing,
599,600,14R,Writing,
600,600,15R,Writing,
601,610,01L,Writing,
602,610,01R,Playing,
603,610,05L,Writing,
604,610,07R,Writing,
605,610,11L,Writing,
606,610,12R,Writing,
607,610,13R,Writing,
608,610,14L,Writing,
609,610,14R,Writing,
610,610,15R,Writing,
611,620,01L,Writing,
612,620,01R,Writing,
613,620,05L,Writing,
614,620,07R,Writing,
615,620,11L,Writing,
616,620,12R,Writing,
617,620,13R,Writing,
618,620,14L,Chatting,
619,620,14R,Chatting,
620,620,15R,Writing,
621,630,01L,Writing,
622,630,01R,Writing,
623,630,05L,Eating,
624,630,07R,Writing,
625,630,11L,Writing,
626,630,12R,Writing,
627,630,13R,Writing,
628,630,14L,Writing,
629,630,14R,Writing,
630,630,15R,Writing,
631,640,01L,Chatting,
632,640,01R,Chatting,
633,640,05L,Writing,
634,640,07R,Writing,
635,640,11L,Writing,
636,640,12R,Writing,
637,640,13R,Writing,
638,640,14L,Writing,
639,640,14R,Writing,
640,640,15R,Writing,
641,650,01L,Writing,
642,650,01R,Writing,
643,650,05L,Writing,
644,650,07R,Staring,
645,650,11L,Writing,
646,650,12R,Writing,
647,650,13R,Writing,
648,650,14L,Writing,
649,650,14R,Writing,
650,650,15R,Writing,
651,660,01L,Writing,
652,660,01R,Writing,
653,660,05L,Writing,
654,660,07R,Writing,
655,660,11L,Staring,
656,660,12R,Writing,
657,660,13R,Writing,
658,660,14L,Writing,
659,660,14R,Writing,
660,660,15R,Writing,
661,670,01L,Writing,
662,670,01R,Writing,
663,670,05L,Writing,
664,670,07R,Writing,
665,670,11L,Writing,
666,670,12R,Staring,
667,670,13R,Writing,
668,670,14L,hit,
669,670,14R,hit,
670,670,15R,Writing,
671,680,01L,Writing,
672,680,01R,Writing,
673,680,05L,Writing,
674,680,07R,Writing,
675,680,11L,Writing,
676,680,12R,Writing,
677,680,13R,Throw,
678,680,14L,Writing,
679,680,14R,Writing,
680,680,15R,Writing,
681,690,01L,Writing,
682,690,01R,Writing,
683,690,05L,Writing,
684,690,07R,Writing,
685,690,11L,Writing,
686,690,12R,Writing,
687,690,13R,Writing,
688,690,14L,Writing,
689,690,14R,Writing,
690,690,15R,Writing,
691,700,01L,Idle,
692,700,01R,Idle,
693,700,05L,Idle,
694,700,07R,Idle,
695,700,11L,Idle,
696,700,12R,Idle,
697,700,13R,Idle,
698,700,14L,Idle,
699,700,14R,Idle,
700,700,15R,Idle,
701,710,01L,Idle,
702,710,01R,Idle,
703,710,05L,Idle,
704,710,07R,Idle,
705,710,11L,Idle,
706,710,12R,Idle,
707,710,13R,Idle,
708,710,14L,Idle,
709,710,14R,Idle,
710,710,15R,Idle,
